,finished,remain,total
model_000,1,0,216
model_001,1,0,480
model_002,1,0,480
model_004,1,0,324
model_008,1,0,600
model_00C,1,0,600
model_010,0,69,600
model_012,0,90,720
model_014,0,189,600
model_018,1,0,840
model_030,0,110,720
model_040,1,0,480
model_100,1,0,1080
model_102,1,0,1200
model_104,1,0,1080
model_108,1,0,1320
model_110,1,0,1320
model_200,1,0,720
model_202,1,0,840
model_204,1,0,720
model_208,1,0,960
model_210,0,46,960
model_300,1,0,1200
model_400,0,10,840
model_410,0,1047,1320
model_440,1,0,960
model_600,0,52,1080
model_800,1,0,600
model_802,1,0,840
model_804,1,0,600
model_808,1,0,840
model_810,0,275,840
model_840,1,0,720
model_A00,1,0,1080
model_C00,1,0,1080
model_CCC,1,0,480
